Field,Energy,Magnetization,Susceptibility
0.0,0.0,0.009355828220858897,1.6793266744229904e+20
0.1,-1.5071509244202453e-23,0.4081288343558284,1.7657288392233894e+20
0.2,-1.9638111192085963e-23,0.7047546012269938,9.101968290508172e+19
0.3,-1.628061296825156e-23,0.8569018404907975,4.134644402321665e+19
0.4,9.88507315296528e-25,0.9408997955010229,2.0346362627406414e+19
0.5,-3.7422605056237336e-25,0.9767382413087953,7.656420835066513e+18
0.6,-2.5175897372392775e-24,0.9883435582822103,3.6963310782682803e+18
0.7,-4.499967404447861e-24,0.9958588957055227,1.362021350305389e+18
0.8,3.4892960351738314e-25,0.9977505112474441,8.522191284872352e+17
0.9,1.7384781524539783e-25,0.9985685071574649,5.256247143016434e+17
1.0,-2.017071293456052e-25,0.9998977505112474,3.6868678653130536e+16
1.1,-2.385839386400805e-25,0.9999488752556238,1.8472192175588508e+16
1.2,-2.7849822000000195e-25,1.0,0.0
1.3,-3.0170640500000175e-25,1.0,0.0
1.4,-3.2491458999999926e-25,1.0,0.0
1.5,-3.4812277500000205e-25,1.0,0.0
1.6,-3.7133095999999914e-25,1.0,0.0
1.7,-3.945391449999963e-25,1.0,0.0
1.8,-4.177473300000033e-25,1.0,0.0
1.9,-4.409555149999971e-25,1.0,0.0
2.0,-4.6416370000000515e-25,1.0,0.0
2.1,-4.8737188499999875e-25,1.0,0.0
2.2,-5.105800699999967e-25,1.0,0.0
2.3,-5.337882550000036e-25,1.0,0.0
2.4,-5.569964400000039e-25,1.0,0.0
2.5,-5.80204624999994e-25,1.0,0.0
2.6,-6.034128100000035e-25,1.0,0.0
2.7,-6.266209950000037e-25,1.0,0.0
2.8,-6.498291799999985e-25,1.0,0.0
2.9,-6.730373650000011e-25,1.0,0.0
3.0,-6.962455500000041e-25,1.0,0.0
3.1,-7.194537349999949e-25,1.0,0.0
3.0,-6.962455500000041e-25,1.0,0.0
2.9,-6.730373650000011e-25,1.0,0.0
2.8,-6.498291799999985e-25,1.0,0.0
2.7,-6.266209950000037e-25,1.0,0.0
2.6,-6.034128100000035e-25,1.0,0.0
2.5,-5.80204624999994e-25,1.0,0.0
2.4,-5.569964400000039e-25,1.0,0.0
2.3,-5.337882550000036e-25,1.0,0.0
2.2,-5.105800699999967e-25,1.0,0.0
2.1,-4.8737188499999875e-25,1.0,0.0
2.0,-4.6416370000000515e-25,1.0,0.0
1.9,-4.409555149999971e-25,1.0,0.0
1.8,-4.177473300000033e-25,1.0,0.0
1.7,-3.945391449999963e-25,1.0,0.0
1.6,-3.7133095999999914e-25,1.0,0.0
1.5,-3.4812277500000205e-25,1.0,0.0
1.4,-3.2491458999999926e-25,1.0,0.0
1.3,-3.0170640500000175e-25,1.0,0.0
1.2,-2.7849822000000195e-25,1.0,0.0
1.1,-1.8846564956032635e-25,0.9997955010224948,7.343453448191808e+16
1.0,-1.4095768803681145e-25,0.9996932515337423,1.0969756748636264e+17
0.9,1.1917331806748416e-25,0.9987730061349699,4.594579275685844e+17
0.8,8.732732188139488e-27,0.9991820040899797,2.8647039017398973e+17
0.7,9.112890801329188e-25,0.9948364008179975,1.8535784970710354e+18
0.6,-6.809537765705506e-24,0.9874233128834375,4.780133960329261e+18
0.5,3.6428307559815876e-24,0.9746932515337444,9.99406161407949e+18
0.4,6.179357233128838e-25,0.9440184049079768,2.0342653047808213e+19
0.3,9.279714462423297e-24,0.8700920245398778,3.881840339446081e+19
0.2,1.516524373372191e-23,0.6939672801635987,8.783989185640972e+19
0.1,1.2072005579580782e-23,0.4178425357873211,1.635902638719666e+20
0.0,0.0,0.0056748466257668705,1.8816948391369015e+20
-0.1,-1.3086521249437637e-23,-0.4163087934560326,1.296239905639725e+20
-0.2,-8.390352133762759e-24,-0.690439672801636,8.039817240250003e+19
-0.3,-9.952039919907969e-24,-0.8608895705521478,4.494647744393877e+19
-0.4,-4.867738826871195e-24,-0.9401840490797551,2.052048575039712e+19
-0.5,-1.8438404647239316e-25,-0.9754601226993886,9.64066738010676e+18
-0.6,-1.1356633447668754e-23,-0.9879345603272011,3.7779418289286743e+18
-0.7,-1.4769660457699267e-23,-0.995245398773007,1.6531854942422246e+18
-0.8,1.7883116785276112e-25,-0.998466257668712,5.212337833872585e+17
-0.9,7.816744518404707e-26,-0.9989263803680982,3.72017837558882e+17
-1.0,-1.7133240869120782e-25,-0.9997955010224948,7.343453448191808e+16
-1.1,-8.424571154999967e-24,-1.0,0.0
-1.2,-2.6027338760736317e-25,-0.9999488752556238,1.8472192175588508e+16
-1.3,-2.819628365746439e-25,-0.9999488752556238,1.8472192175588508e+16
-1.4,-3.2491458999999926e-25,-1.0,0.0
-1.5,-3.4812277500000205e-25,-1.0,0.0
-1.6,-3.7133095999999914e-25,-1.0,0.0
-1.7,-3.945391449999963e-25,-1.0,0.0
-1.8,-4.177473300000033e-25,-1.0,0.0
-1.9,-4.409555149999971e-25,-1.0,0.0
-2.0,-4.6416370000000515e-25,-1.0,0.0
-2.1,-4.8737188499999875e-25,-1.0,0.0
-2.2,-5.105800699999967e-25,-1.0,0.0
-2.3,-5.337882550000036e-25,-1.0,0.0
-2.4,-5.569964400000039e-25,-1.0,0.0
-2.5,-5.80204624999994e-25,-1.0,0.0
-2.6,-6.034128100000035e-25,-1.0,0.0
-2.7,-6.266209950000037e-25,-1.0,0.0
-2.8,-6.498291799999985e-25,-1.0,0.0
-2.9,-6.730373650000011e-25,-1.0,0.0
-3.0,-6.962455500000041e-25,-1.0,0.0
-3.1,-7.194537349999949e-25,-1.0,0.0
-3.0,-6.962455500000041e-25,-1.0,0.0
-2.9,-6.730373650000011e-25,-1.0,0.0
-2.8,-6.498291799999985e-25,-1.0,0.0
-2.7,-6.266209950000037e-25,-1.0,0.0
-2.6,-6.034128100000035e-25,-1.0,0.0
-2.5,-5.80204624999994e-25,-1.0,0.0
-2.4,-5.569964400000039e-25,-1.0,0.0
-2.3,-5.337882550000036e-25,-1.0,0.0
-2.2,-5.105800699999967e-25,-1.0,0.0
-2.1,-4.8737188499999875e-25,-1.0,0.0
-2.0,-4.6416370000000515e-25,-1.0,0.0
-1.9,-4.409555149999971e-25,-1.0,0.0
-1.8,-4.177473300000033e-25,-1.0,0.0
-1.7,-3.945391449999963e-25,-1.0,0.0
-1.6,-3.7133095999999914e-25,-1.0,0.0
-1.5,-3.4812277500000205e-25,-1.0,0.0
-1.4,-3.2491458999999926e-25,-1.0,0.0
-1.3,-2.6221926814928583e-25,-0.9998977505112474,3.6868678653130536e+16
-1.2,-2.7849822000000195e-25,-1.0,0.0
-1.1,-2.218778422801623e-25,-0.9998977505112475,3.686867864991483e+16
-1.0,-8.02082467280166e-26,-0.9994887525562375,1.8131516502383062e+17
-0.9,-8.585604634969374e-26,-0.9995398773006137,1.6352432419658243e+17
-0.8,4.218289330879291e-25,-0.9974437627811866,9.049102996109923e+17
-0.7,6.986660355521432e-25,-0.9958588957055238,1.2879811701474516e+18
-0.6,-2.7818498069325363e-24,-0.9898261758691228,3.7763520091330304e+18
-0.5,6.620739892637936e-26,-0.9737730061349711,8.640897831320211e+18
-0.4,1.3894536279345697e-24,-0.9375255623721888,2.1365210014036533e+19
-0.3,7.90829582487729e-24,-0.860480572597137,4.429563549247393e+19
-0.2,6.365687160143157e-24,-0.6920756646216769,8.895685383755376e+19
-0.1,8.314652634631916e-24,-0.41932515337423326,1.4337517493809488e+20
0.0,0.0,0.010327198364008175,1.6534201819498244e+20
0.1,-1.0498595049683029e-23,0.40419222903885504,1.672984050403726e+20
0.2,-1.3919880186891638e-23,0.6850715746421264,8.98780408638944e+19
0.3,-7.796953489478513e-24,0.8617075664621684,3.912576855938101e+19
0.4,-1.675032954687109e-23,0.9401840490797553,2.0224325029889176e+19
0.5,-7.170569796983636e-24,0.9724948875255635,8.627346510020903e+18
0.6,-2.7089504773619787e-24,0.9894171779141127,3.505325582908886e+18
0.7,-4.733852753486712e-24,0.9969836400818006,1.1084072363828874e+18
0.8,3.4892960351738332e-25,0.9977505112474438,8.892392185557528e+17
0.9,2.3492948006135245e-26,0.9991308793456036,3.0373129105542195e+17
1.0,-1.409576880368105e-25,0.9996932515337423,1.0969756748636264e+17
1.1,-1.7175955320040876e-25,0.9997443762781186,9.160390383477146e+16
1.2,-2.7849822000000195e-25,1.0,0.0
1.3,-3.0170640500000175e-25,1.0,0.0
1.4,-3.2491458999999926e-25,1.0,0.0
1.5,-3.4812277500000205e-25,1.0,0.0
1.6,-3.7133095999999914e-25,1.0,0.0
1.7,-3.945391449999963e-25,1.0,0.0
1.8,-4.177473300000033e-25,1.0,0.0
1.9,-4.409555149999971e-25,1.0,0.0
2.0,-4.6416370000000515e-25,1.0,0.0
2.1,-4.8737188499999875e-25,1.0,0.0
2.2,-5.105800699999967e-25,1.0,0.0
2.3,-5.337882550000036e-25,1.0,0.0
2.4,-5.569964400000039e-25,1.0,0.0
2.5,-5.80204624999994e-25,1.0,0.0
