Field,Energy,Magnetization,Susceptibility
0.0,0.0,-0.021676891615541913,7.874980179110683e+20
0.1,-5.006133647852789e-25,0.019631901840490802,6.702571339144382e+20
0.2,3.92972948466257e-25,0.04417177914110427,7.305067626983247e+20
0.3,-7.193113534969322e-25,0.07914110429447851,7.104078063169206e+20
0.4,1.013756301840493e-24,0.11349693251533746,7.00447358036063e+20
0.5,3.0308275952965163e-24,0.12351738241308793,7.084031192313294e+20
0.6,8.759310068711671e-25,0.17137014314928425,6.426445376587587e+20
0.7,5.514910218813907e-25,0.2075664621676889,7.155836540007476e+20
0.8,-3.883408035664644e-24,0.21145194274028636,6.538005304432297e+20
0.9,1.8333042334969324e-24,0.24028629856850722,7.977491761016153e+20
1.0,3.316539811451941e-24,0.2713701431492844,6.586372165657445e+20
1.1,-7.156474028179957e-24,0.30040899795501047,7.273683069649266e+20
1.2,8.360641860122692e-25,0.31247443762781146,6.490038169332988e+20
1.3,-4.780411504989794e-24,0.34805725971370133,7.036972525681756e+20
1.4,-2.6072900841717777e-24,0.3503067484662577,6.332642979059998e+20
1.5,-6.751730875460125e-24,0.39243353783231066,6.373972237888048e+20
1.6,-1.3544087939795527e-23,0.4059304703476481,5.778925391485063e+20
1.7,-8.839613236441722e-24,0.4300613496932515,6.002614554080953e+20
1.8,-1.3275651346012285e-23,0.4472392638036807,5.602997444469149e+20
1.9,2.5357196486298554e-24,0.478118609406953,5.44221063858305e+20
2.0,6.1318967321063265e-24,0.48486707566462206,5.2918045990554835e+20
2.1,1.2880969819509222e-23,0.5196319018404905,5.1388427349055e+20
2.2,-3.362101892433535e-24,0.5323108384458077,4.930924584910441e+20
2.3,-1.3583764918650323e-23,0.5680981595092025,5.0117298268922013e+20
2.4,-1.8293175514110388e-23,0.5605316973415129,4.9779469128033606e+20
2.5,-2.0194443185071578e-23,0.5850715746421269,4.727027921999536e+20
2.6,-1.2305179021104355e-23,0.604907975460122,4.7410062234907194e+20
2.7,-2.372702319717793e-23,0.6233128834355828,4.4466261011876676e+20
2.8,1.3554719092024562e-24,0.6239263803680988,4.7593209478011467e+20
2.9,-3.7987385018404823e-25,0.6570552147239259,3.766619283677009e+20
3.0,-4.727065901840513e-25,0.6584867075664621,3.9470168955544234e+20
3.1,-2.206913297546015e-24,0.688343558282209,3.5845985414702406e+20
3.0,1.0450802325153384e-23,0.6623721881390588,4.2729027043203364e+20
2.9,-1.0873200784253549e-23,0.6519427402862984,4.010209962173899e+20
2.8,1.0099594617586934e-25,0.6480572597137018,4.353756397953662e+20
2.7,6.453299245030677e-24,0.6212678936605311,4.584216678862915e+20
2.6,-2.5715997874028667e-24,0.6032719836400812,4.600787143715409e+20
2.5,7.835728718813923e-24,0.5811860940695294,4.728772181457638e+20
2.4,8.561115016441717e-24,0.5578732106339462,4.973186538032135e+20
2.3,-3.9602940473210655e-24,0.5427402862985679,4.8382971399345753e+20
2.2,-3.9217561204908e-24,0.5460122699386497,4.636314317262432e+20
2.1,-1.1047096060000017e-23,0.5333333333333331,4.882703078640077e+20
2.0,1.9325916016359934e-24,0.49795501022494865,5.5731391141611065e+20
1.9,9.490011942453935e-24,0.4809815950920246,5.5598633616183755e+20
1.8,-1.4010339901840488e-25,0.45419222903885464,5.429782789943683e+20
1.7,1.4232455046625773e-24,0.40490797546012264,6.109268752199591e+20
1.6,-4.486346240654407e-24,0.40102249488752556,5.7838674599498174e+20
1.5,1.603215724539878e-24,0.39243353783231133,5.598031150178471e+20
1.4,2.979380412188137e-24,0.33537832310838445,6.349080201870534e+20
1.3,-7.391498429243366e-24,0.35623721881390596,6.66464580884237e+20
1.2,-5.834224469693245e-24,0.31186094069529685,5.979842277821585e+20
1.1,-4.880268399141101e-24,0.2889570552147236,7.078350236161381e+20
1.0,-2.587546515746418e-24,0.2893660531697344,6.69462526827937e+20
0.9,6.97612412429448e-24,0.232515337423313,6.999168124508695e+20
0.8,2.152048958364012e-24,0.205112474437628,7.332115761497563e+20
0.7,-4.6909959210634055e-25,0.18609406952965232,7.186470096741368e+20
0.6,-1.2244809263803694e-24,0.1599182004089979,6.691572814227656e+20
0.5,-8.286603478527613e-25,0.13926380368098162,7.743458170800376e+20
0.4,3.2052923970552193e-24,0.11840490797546005,7.118032138834489e+20
