Field,Energy,Magnetization,Susceptibility
1.2,-2.3968595006216845e-24,0.34357873210633944,8.54612397824976e+19
1.1,5.778144004049081e-25,0.34952965235173805,9.921952232358488e+19
1.0,3.866525780777208e-25,0.2937423312883435,9.575028716461284e+19
0.9,-2.690868145235041e-25,0.2733333333333334,1.1100893566253887e+20
0.8,6.671233200000029e-25,0.24231083844580792,1.1785682561779019e+20
0.7,-8.624705420490825e-25,0.20844580777096083,1.2716012414778989e+20
0.6,8.443531794846564e-25,0.16873210633946828,8.219093499214363e+19
0.5,-1.3946908445809714e-26,0.14214723926380363,1.0908326110781995e+20
0.4,-9.25865139762777e-25,0.12732106339468305,1.0020273957690627e+20
0.3,2.2881509980736207e-24,0.07670756646216778,1.1452532639144675e+20
0.2,1.8853336938077716e-24,0.053271983640081705,9.38226745438275e+19
0.1,1.277263425807822e-25,0.02437627811860941,9.508046730685297e+19
0.0,-2.592000029652344e-24,0.008241308793456028,1.2671791803640657e+20
-0.1,-6.019599709079732e-25,-0.03748466257668711,1.4911118125093303e+20
-0.2,7.177257767690023e-26,-0.06482617586912061,1.085254372427698e+20
-0.3,3.579180566155403e-24,-0.09997955010224951,1.0969496320946484e+20
-0.4,-4.128270573226978e-24,-0.1368507157464212,1.336973178870567e+20
-0.5,1.2560945636605254e-24,-0.1484049079754602,1.0453157971301679e+20
-0.6,-1.850289756891567e-25,-0.1923926380368098,1.093455177851012e+20
-0.7,5.436691527157403e-25,-0.2149488752556239,1.2828568024064133e+20
-0.8,7.859057251533683e-25,-0.24253578732106362,1.1006089430828958e+20
-0.9,-2.215594139447854e-24,-0.28366053169734184,9.632176228250218e+19
-1.0,-4.4839054032719825e-25,-0.3066257668711654,1.178225824130133e+20
-1.1,-2.5448313994151408e-24,-0.3397546012269941,1.1572096779836139e+20
-1.2,-2.1698277894805854e-24,-0.3600204498977509,8.72874430964482e+19
-1.3,-2.646857768384499e-25,-0.394192229038855,8.102678715877666e+19
-1.4,5.234046939492853e-24,-0.3998568507157463,9.357168287555029e+19
-1.5,-2.6168744161554064e-25,-0.4198977505112473,9.820378189912279e+19
-1.6,1.352829118331279e-24,-0.4592842535787318,8.232822274699737e+19
-1.7,-1.80388547022087e-24,-0.4819836400817992,7.940589771855045e+19
-1.8,-1.6087527731124618e-24,-0.4968711656441718,7.993119841244588e+19
-1.9,-5.1266186719828566e-26,-0.5139263803680981,7.610327567656278e+19
-2.0,-5.527567174642146e-24,-0.5549693251533746,8.016551059965521e+19
-2.1,-5.711286729447864e-25,-0.5943149284253585,5.823691083703038e+19
-2.2,1.845766350609414e-24,-0.6031083844580779,6.212490150801845e+19
-2.3,-2.4230147849284276e-24,-0.6203680981595101,6.6758587323160035e+19
-2.4,3.163691920490952e-25,-0.6261554192229042,5.596170606755391e+19
-2.5,-7.739140048057324e-25,-0.6556441717791407,4.76766068833727e+19
-2.6,-4.883827803689193e-24,-0.6750306748466258,4.622549203039135e+19
-2.7,2.8359093317382514e-25,-0.6784662576687118,4.988382187270488e+19
-2.8,3.443325103738253e-24,-0.6743967280163599,4.282030995485599e+19
-2.9,4.242997067292436e-24,-0.7133128834355825,3.920081411130516e+19
-3.0,3.9224343982413264e-24,-0.7252965235173822,3.841151248065929e+19
-3.1,4.1208385027812e-25,-0.7435582822085884,3.909346947715333e+19
-3.0,-8.35832425357868e-25,-0.7273006134969322,3.857898561447212e+19
-2.9,1.080510143595093e-24,-0.7065439672801634,3.5623967834090082e+19
-2.8,2.073321742977491e-24,-0.6957668711656442,5.417778893255788e+19
-2.7,3.839638894327212e-24,-0.6812269938650309,4.142292798351865e+19
-2.6,5.647215236458063e-24,-0.6525562372188144,5.3933968108716425e+19
-2.5,-2.8249255068507064e-24,-0.6488957055214718,5.745528879318846e+19
-2.4,-6.520538643026561e-25,-0.6195705521472394,6.1388484855106806e+19
-2.3,-4.8366870156769184e-24,-0.6141717791411049,7.830754722806905e+19
-2.2,-4.721430491288374e-24,-0.5767893660531703,6.460033272777998e+19
-2.1,-6.639679751860819e-25,-0.5904089979550097,7.101691819328617e+19
-2.0,4.122000468834339e-24,-0.5419222903885484,5.962287033149235e+19
-1.9,7.261554057779152e-24,-0.5446625766871176,5.7969590962137285e+19
-1.8,1.1496701190020555e-24,-0.4945807770961138,7.248649312552e+19
-1.7,1.409612869730052e-24,-0.49282208588957016,9.415854139283264e+19
-1.6,1.8336689343067483e-24,-0.4550102249488755,9.577911589732106e+19
-1.5,-3.262022998343553e-24,-0.4407770961145189,1.071362799393145e+20
-1.4,2.900866254691209e-24,-0.4151738241308795,9.552990482723806e+19
-1.3,5.291444788944769e-24,-0.3729038854805726,8.554532762387574e+19
-1.2,-4.705837575239268e-24,-0.36331288343558255,9.053731340273798e+19
-1.1,-1.9254308725030796e-24,-0.3341308793456033,9.326858145595218e+19
-1.0,-2.59490989406952e-24,-0.3098568507157467,9.123793639800322e+19
-0.9,1.003938510106337e-24,-0.2612269938650308,9.969551134905364e+19
-0.8,-1.147555480245307e-25,-0.23357873210633934,1.3537024440112403e+20
-0.7,5.977702634805643e-25,-0.21361963190184044,9.451949408444873e+19
-0.6,1.2931366620858227e-25,-0.1758077709611453,1.079714895098496e+20
-0.5,4.307392042740303e-25,-0.15723926380368114,1.0847102603800512e+20
