Field,Energy,Magnetization,Susceptibility
0.0,-2.843018101840479e-24,-0.02978323108384455,1.5243928401649825e+20
0.1,-6.113362467582787e-25,0.023869120654396687,4.390925113457333e+19
0.2,4.0108234640817976e-25,0.01850306748466257,7.570650607051814e+19
0.3,-1.010330445344787e-24,0.06544785276073614,7.1993559103918195e+19
0.4,-1.0601972725529573e-24,0.07468302658486696,6.8242060127161295e+19
0.5,-9.183803782658517e-25,0.15662167689161557,9.255481595017824e+19
0.6,1.448211029267901e-25,0.15823312883435575,9.85142334342616e+19
0.7,-5.391666805873155e-25,0.12516973415132923,1.3574168009208973e+20
0.8,-1.9638119314650324e-24,0.20516155419222915,7.349181596036126e+19
0.9,3.996964431460126e-25,0.19129652351738238,7.042601250953259e+19
1.0,3.70147529488704e-26,0.23547648261758686,8.440325775460229e+19
1.1,-2.7106267746470366e-24,0.2792965235173827,6.86954861875068e+19
1.2,1.683088646576693e-25,0.24472801635991792,5.123286750734641e+19
1.3,-3.575118231029846e-24,0.27071574642126783,5.867232596493131e+19
1.4,1.5813865718642162e-24,0.3202208588957054,3.6627977629184418e+19
1.5,-8.632643242617507e-25,0.3415051124744379,5.860796279092206e+19
1.6,-3.794416280935806e-24,0.3783640081799591,3.204800192338645e+19
1.7,-1.5040376528261827e-25,0.4020858895705529,6.422945326177718e+19
1.8,-1.5308933073145194e-24,0.40008997955010184,3.461277847326168e+19
1.9,-5.828810568065494e-25,0.4422576687116566,6.592311175305744e+19
2.0,-3.2810714233619613e-24,0.4502903885480569,4.164620239997628e+19
2.1,-1.5029523224719815e-24,0.4427811860940694,3.943230689690554e+19
2.2,3.431860845316989e-25,0.49402862985685037,3.5561190482643083e+19
2.3,1.5642599783116627e-24,0.4572842535787315,4.117562445496523e+19
2.4,8.130130927934458e-25,0.5198691206543968,2.1619958381177377e+19
2.5,1.0730174760736573e-25,0.5242699386503071,2.9016535189018796e+19
2.6,7.334508651713829e-25,0.5517873210633949,3.3462189350076404e+19
2.7,3.603378444867073e-24,0.5750511247443776,2.415272776997345e+19
2.8,-1.4068923498535802e-24,0.5614642126789381,3.2784032901109707e+19
2.9,-1.706969352168501e-24,0.5862822085889577,3.624429869035094e+19
3.0,1.0620547652678931e-24,0.6004089979550105,1.8255293514786466e+19
3.1,1.1361758042781339e-24,0.6372760736196331,3.0734485400336507e+19
3.0,6.340219306503113e-24,0.6010470347648273,3.1486146880899584e+19
2.9,2.9936067547043116e-24,0.5852515337423325,2.577646858990568e+19
2.8,3.7490986506110424e-24,0.5836973415132937,2.6645082667144163e+19
2.7,5.389462266355755e-25,0.5996973415132926,2.73293323957989e+19
2.6,2.069323189065032e-24,0.5470838445807782,2.3320570653473526e+19
2.5,-4.0469099406953193e-25,0.5036400817995912,4.462314745980136e+19
2.4,-4.681879645696519e-24,0.5197873210633955,3.4673368232615924e+19
2.3,2.8353617053464345e-24,0.487950920245399,4.182733599243799e+19
2.2,5.850207459795194e-26,0.48801635991820047,2.6080146099660743e+19
2.1,1.2007333197791375e-24,0.4664785276073616,3.9992241315902734e+19
2.0,1.9435191694069458e-24,0.4402617586912062,5.2494798525943734e+19
1.9,6.127823913341608e-25,0.42400817995909984,4.135872518448483e+19
1.8,-1.0736392817178006e-24,0.42098159509202415,6.941085738102102e+19
