Field,Energy,Magnetization,Susceptibility
0.0,0.0,0.006339468302658485,6.121745052490553e+20
0.1,-3.6354743783231292e-25,0.045807770961145154,7.206747112942468e+20
0.2,7.741756926789418e-25,0.041513292433537824,7.305479466021975e+20
0.3,-2.933058963190187e-25,0.10265848670756651,7.891659660179323e+20
0.4,4.624551219631898e-25,0.08773006134969329,7.779070134737775e+20
0.5,-1.7873624685071556e-24,0.14253578732106317,6.804368259188594e+20
0.6,1.0194515619631917e-24,0.1584867075664621,7.293633037201993e+20
0.7,2.037194545889568e-24,0.19325153374233126,6.18020197016467e+20
0.8,-5.736265995582836e-24,0.2361963190184045,6.222136874637909e+20
0.9,-8.542890184049232e-27,0.2505112474437629,6.640625902553934e+20
1.0,-4.345483473619623e-24,0.28404907975460125,6.79854194808176e+20
1.1,-9.877479472801648e-25,0.2983640081799594,7.071930392322275e+20
1.2,4.945763890552137e-24,0.3280163599182003,6.576597044944083e+20
1.3,-1.156232725910012e-23,0.32903885480572603,6.6125723962686e+20
1.4,-8.124858091042935e-24,0.36257668711656443,5.261340623102365e+20
1.5,-8.172698276073616e-25,0.3793456032719841,7.049036986933961e+20
1.6,1.5885978902249475e-24,0.3965235173824134,5.628264980786568e+20
1.7,9.972400474846612e-25,0.4184049079754604,5.803078539815356e+20
1.8,6.619031314601229e-24,0.45194274028629866,5.976717146292446e+20
1.9,-1.1217764021676897e-24,0.4817995910020448,5.587965319555386e+20
2.0,-8.926371032310809e-24,0.49038854805725973,5.367861579179044e+20
2.1,-2.276395471042942e-24,0.5083844580777093,5.602064750175579e+20
2.2,3.905050024130879e-24,0.5543967280163601,4.902362336283062e+20
2.3,-4.257206941717794e-24,0.5496932515337414,4.8044536612812037e+20
2.4,4.014019334478533e-24,0.5599182004089984,4.9797638497387584e+20
2.5,-1.0949137585889617e-23,0.585889570552147,5.2635572861638856e+20
2.6,2.0977541451942727e-24,0.6065439672801635,4.365130423170336e+20
2.7,6.6070712683435606e-24,0.618200408997955,4.4921706537062105e+20
2.8,1.0099594617586935e-25,0.6480572597137015,3.962824246893882e+20
2.9,1.1049374164049044e-23,0.6447852760736191,4.2911326382406874e+20
3.0,-1.4864628920245408e-24,0.676687116564417,3.949076090748018e+20
3.1,-1.3223824478895712e-23,0.679754601226994,3.74630592873698e+20
3.0,-6.270481395092035e-24,0.662576687116565,4.165545957253009e+20
2.9,-5.621031899100181e-24,0.6543967280163602,3.97834088832374e+20
2.8,-5.586670496359915e-24,0.6574642126789367,3.9967646288504966e+20
2.7,-4.485017346625769e-24,0.6394683026584861,4.1309272521740465e+20
2.6,-2.1930168628466096e-23,0.6042944785276068,4.377546158897002e+20
2.5,7.522489412065453e-24,0.5879345603271984,5.1054595469424447e+20
2.4,-9.955314694478524e-24,0.5734151329243351,5.530622789868584e+20
